iata_code,icao_code,oag_code,carrier_name,iata_name,alliance,domicile_country,region
"PO","PAC","PO","POLAR AIR CARGO","POLAR AIR CARGO WORLDWIDE, INC.",,"USA"
"YN","CRQ","YN","AIR CREEBEC (1994) INC.","AIR CREEBEC (1994) INC.",,"CANADA","NORTH AMERICA"
"VK","FVJ","VK","VALUEJET","FLYFORVALUE AVIATION LIMITED",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"8K","KMI","8K","K-MILE AIR CO","K-MILE AIR CO. LTD",,"THAILAND","ASIA : SOUTH EAST ASIA"
"8CN",,"8CN","ZANTAS AIR",,,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"8CI",,"8CI","PENZANCE HELICOPTERS",,,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"4K","SMK","4K","FREEDOM AIRLINE EXPRESS (SOMALIA)","FREEDOM AIRLINE EXPRESS",,"SOMALIA","AFRICA : EASTERN AFRICA"
"I9","HLF","I9","CENTRAL AIRLINES CO. LTD.","CENTRAL AIRLINES CO., LTD.",,"CHINA"
"7S","RYA","7S","RYAN AIR","ARCTIC TRANSPORTATION SERVICES, INC",,"USA"
"5T","AKT","5T","CANADIAN NORTH","BRADLEY AIR SERVICES LIMITED",,"CANADA","NORTH AMERICA"
"FS",,"FS","PT. AIRFAST INDONESIA","PT. AIRFAST INDONESIA",,,
"E6",,"E6","BOND AIR CARGO, LLC","BOND AIR CARGO, LLC",
"CE","CLG","CE","CHALAIR","CHALAIR AVIATION",,"FRANCE","EUROPE : WESTERN EUROPE"
"TH","RMY","TH","RAYA AIRWAYS","RAYA AIRWAYS SDN. BHD.",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"8FV",,"8FV","MIRACLE AIR",,,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"C4","QAI","C4","CONQUEST AIR INC.","CONQUEST AIR, INC.",,"USA"
"8FP",,"8FP","NICEAIR",,,"ICELAND","EUROPE : WESTERN EUROPE"
"BL","PIC","BL","PACIFIC AIRLINES","PACIFIC AIRLINES / PACIFIC AIRLINES",,"VIET NAM","ASIA : SOUTH EAST ASIA"
"RB","SYR","RB","SYRIAN ARAB AIRLINES","SYRIAN ARAB AIRLINES",,"SYRIAN ARAB REPUBLIC","MIDDLE EAST"
"B1",,"B1","BRAVO PASSENGER SOLUTIONS PTE. LTD.","BRAVO PASSENGER SOLUTIONS PTE. LTD.",,,
"9S","UZS","9S","AIR SAMARKAND","SAM AIR LLC",,"UZBEKISTAN","ASIA : CENTRAL ASIA"
"DQ","KHH","DQ","ALEXANDRIA AIRLINES","ALEXANDRIA AIRLINES",,"EGYPT","AFRICA : NORTH AFRICA"
"2M","MYD","2M","MAYA ISLAND AIR","MAYA ISLAND AIR",,"BELIZE","LATIN AMERICA : CENTRAL AMERICA"
"I7",,"I7","INDIAONE AIR","GSEC MONARCH AND DECCAN AVIATION PR",,"INDIA","ASIA : SOUTH ASIA"
"8EP",,"8EP","NORTHERN TERRITORY AIR SERVICES",,,"AUSTRALIA","SOUTHWEST PACIFIC"
"S1",,"S1","LUFTHANSA SYSTEMS GMBH & CO. KG","LUFTHANSA SYSTEMS GMBH & CO. KG",,,
"GL","GRL","GL","AIR GREENLAND","AIR GREENLAND",,"GREENLAND","NORTH AMERICA"
"UN","NUA","UN","UNITED NIGERIA AIRLINES","UNITED NIGERIA AIRLINES COMPANY LTD",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"R1",,"R1","ZAPWAYS, INC.","ZAPWAYS, INC.",
"G0",,"G0","IAG CARGO LIMITED","IAG CARGO LIMITED",,,
"8JZ",,"8JZ","MONT GABAON AIRLINES",,,"CONGO DEMOCRATIC REPUBLIC OF","AFRICA : CENTRAL/WESTERN AFRICA"
"DE","CFG","DE","CONDOR FLUGDIENST","CONDOR FLUGDIENST GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"8DY",,"8DY","SITA AIR",,,"NEPAL","ASIA : SOUTH ASIA"
"2A","AWA","2A","ASTRA AIRLINES DBA AIR ASTRA","ASTRA AIRWAYS LIMITED",,"BANGLADESH","ASIA : SOUTH ASIA"
"GJ","CDC","GJ","ZHEJIANG LOONG AIRLINES CO. LTD","ZHEJIANG LOONG AIRLINES CO., LTD",,"CHINA"
"DK","VKG","DK","SUNCLASS AIRLINES","SUNCLASS AIRLINES APS",,"DENMARK","EUROPE : WESTERN EUROPE"
"DH",,"DH","FLYADEN","FLYADEN",,"YEMEN","MIDDLE EAST"
"GD",,"GD","NEXUS AIRLINES, AVIAIR","AVIAIR PTY LTD",,"AUSTRALIA"
"GZ",,"GZ","AIR RAROTONGA","AIR RAROTONGA LTD",,"COOK ISLANDS","SOUTHWEST PACIFIC"
"6A","AMW","6A","ARMENIA AIRWAYS AIRCOMPANY CJSC","ARMENIA AIRWAYS AIR COMPANY CJSC",,"ARMENIA","EUROPE : EASTERN/CENTRAL EUROPE"
"2V",,"2V","AMTRAK","AMTRAK",,"USA","NORTH AMERICA"
"WD","MWM","WD","MODERN TRANSTPORT AEREO DE CAARGA SA","MODERN TRANSPORTE AEREO DE CARGA SA",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"4C","ARE","4C","LATAM AIRLINES COLOMBIA","AEROVIAS DE INTEGRACION REGIONAL",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"UD","UBD","UD","UR AIRLINES","UR AIRLINES",,"IRAQ","MIDDLE EAST"
"LS","EXS","LS","JET2.COM","JET2.COM LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"GR","AUR","GR","AURIGNY AIR SERVICES","AURIGNY AIR SERVICES LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"OA","OAL","OA","OLYMPIC AIR","OLYMPIC AIR",,"GREECE","EUROPE : WESTERN EUROPE"
"F8","FLE","F8","FLAIR AIRLINES","FLAIR AIRLINES LTD. DBA FLAIR AIR",,"CANADA","NORTH AMERICA"
"PR","PAL","PR","PHILIPPINE AIRLINES","PHILIPPINE AIRLINES, INC",,"PHILIPPINES"
"8NP",,"8NP","CHARTER AIR DIRECT",,,"ANGUILLA, LEEWARD ISLANDS"
"G7","GJS","G7","GOJET AIRLINES","GOJET AIRLINES LLC",,"USA","NORTH AMERICA"
"8J","ECO","8J","ECOJET","LINEA AEREA ECO JET S.A.",,"BOLIVIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"UB","UBA","UB","MYANMAR NATIONAL AIRLINES","MYANMAR NATIONAL AIRLINES",,"MYANMAR","ASIA : SOUTH EAST ASIA"
"JT","LNI","JT","LION AIR","PT. LION MENTARI AIRLINES",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"VE","EFY","VE","CLIC AIR S.A.","CLIC AIR SA",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"BP","BOT","BP","AIR BOTSWANA","AIR BOTSWANA",,"BOTSWANA","AFRICA : SOUTHERN AFRICA"
"DV","VSV","DV","AIR COMPANY SCAT","JSC AIRCOMPANY SCAT",,"KAZAKHSTAN","ASIA : CENTRAL ASIA"
"8SU",,"8SU","SAFARI PLUS",,,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"CY","CYP","CY","CYPRUS AIRWAYS","CHARLIE AIRLINES LIMITED",,"CYPRUS","EUROPE : WESTERN EUROPE"
"8SC",,"8SC","SUNSHINE COAST AIR",,,"CANADA","NORTH AMERICA"
"1U",,"1U","ITA SOFTWARE INC.","ITA SOFTWARE INC.",,,
"6K","TAH","6K","AIR ANKA AIRLINES","AIR ANKA HAVA YOLLARI A.S.",,"TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"QE","EFA","QE","EXPRESS FREIGHTERS AUSTRALIA","EXPRESS FREIGHTERS AUSTRALIA PTY LI",,"AUSTRALIA","SOUTHWEST PACIFIC"
"9D","NMG","9D","GENGHIS KHAN AIRLINES","TIANJIAO AIRLINES CO., LTD.",,"CHINA"
"3O","MAC","3O","AIR ARABIA MAROC","AIR ARABIA MAROC.",,"MOROCCO","AFRICA : NORTH AFRICA"
"Y5","HYY","Y5","HAYWAYS","HAYWAYS LLC",,"ARMENIA","EUROPE : EASTERN/CENTRAL EUROPE"
"D6","GCA","D6","SUNRISE AIRWAYS DOMINICANA S.A.","SUNRISE AIRWAYS DOMINICANA S.A",,"DOMINICAN REPUBLIC","LATIN AMERICA : CARIBBEAN"
"NP","NIA","NP","NILE AIR","NILE AIR",,"EGYPT","AFRICA : NORTH AFRICA"
"CA",,"CA","AIR CHINA CARGO CO., LTD","AIR CHINA CARGO CO., LTD",
"K6","KHV","K6","AIR CAMBODIA","AIR CAMBODIA",,"CAMBODIA","ASIA : SOUTH EAST ASIA"
"SD","SUD","SD","SUDAN AIRWAYS","SUDAN AIRWAYS CO. LTD.",,"SUDAN","AFRICA : NORTH AFRICA"
"8QB",,"8QB","FLY KIBRIS HAVA YOLLARI",,,"TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"BY","TOM","TOM","TUI AIRWAYS","TUI AIRWAYS LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"S8",,"S8","SOUNDS AIR","SOUNDS AIR TRAVEL AND TOURISM LTD.",,"NEW ZEALAND","SOUTHWEST PACIFIC"
"R7",,"R7","UNILODE AVIATION SOLUTIONS","UNILODE AVIATION SOLUTIONS",,,
"CS",,"CS","COMLUX ARUBA NV","COMLUX ARUBA NV",,,
"2E",,"2E","ETF AIRWAYS D.O.O.","ETF AIRWAYS D.O.O.",,,
"DZ","EPA","DZ","DONGHAI AIRLINES","DONGHAI AIRLINES CO., LTD",,"CHINA"
"8FG",,"8FG","ASIA PACIFIC AIRLINES PNG",,,"PAPUA NEW GUINEA","SOUTHWEST PACIFIC"
"8RA",,"8RA","MARIANAS SOUTHERN AIRWAYS",,,"NORTHERN MARIANA ISLANDS","SOUTHWEST PACIFIC"
"8AU",,"8AU","CHUKOTAVIA",,,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"GX","CBG","GX","GUANGXI BEIBU GULF AIRLINES","GUANGXI BEIBU GULF AIRLINES CO.,LTD",,"CHINA"
"RQ","KMF","RQ","KAM AIR","KAM AIR DBA KAM AIR",,"AFGHANISTAN","ASIA : SOUTH ASIA"
"9L","TOW","9L","AIRTANKER SERVICES LIMITED","AIRTANKER SERVICES LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"D3",,"D3","DAALLO AIRLINES","DAALLO AIRLINES",,"DJIBOUTI","AFRICA : EASTERN AFRICA"
"8DA",,"8DA","STANIEL AIR",,,"USA","NORTH AMERICA"
"1Z",,"1Z","BIRD INFORMATION SYSTEMS PVT. LTD.","BIRD INFORMATION SYSTEMS PVT. LTD.",,,
"R8","KGZ","R8","SKY FRU","SKY FRU",,"KYRGYZSTAN","ASIA : CENTRAL ASIA"
"WN","SWA","WN","SOUTHWEST AIRLINES","SOUTHWEST AIRLINES CO.",,"USA","NORTH AMERICA"
"J2","AHY","J2","AZERBAIJAN AIRLINES","AZERBAIJAN AIRLINES",,"AZERBAIJAN","EUROPE : EASTERN/CENTRAL EUROPE"
"TO","TVF","TO","TRANSAVIA.COM FRANCE","TRANSAVIA FRANCE",,"FRANCE","EUROPE : WESTERN EUROPE"
"V5","DAP","V5","AEROVIAS DAP S.A.","AEROVIAS  DAP  S.A.",,"CHILE","LATIN AMERICA : LOWER SOUTH AMERICA"
"SJ","SJY","SJ","SRIWIJAYA AIR","PT. SRIWIJAYA AIR",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"8DB",,"8DB","DIE INSELFLIEGER",,,"GERMANY","EUROPE : WESTERN EUROPE"
"8RX",,"8RX","ELYSIAN AIRLINES",,,"GUINEA","AFRICA : CENTRAL/WESTERN AFRICA"
"8QM",,"8QM","MONACAIR",,,"MONACO","EUROPE : WESTERN EUROPE"
"4Z","LNK","4Z","AIRLINK","AIRLINK (PTY) LTD DBA AIRLINK",,"SOUTH AFRICA","AFRICA : SOUTHERN AFRICA"
"8NB",,"8NB","MSC AIR CARGO",,,"SWITZERLAND","EUROPE : WESTERN EUROPE"
"U1",,"U1","VIDECOM INTERNATIONAL LIMITED","VIDECOM INTERNATIONAL LIMITED",,,
"I4","XYZ","I4","SCOTT AIR LLC","SCOTT AIR, LLC",,"USA"
"RK","RUK","RK","RYANAIR UK LTD","RYANAIR UK LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"8M","MMA","8M","MYANMAR AIRWAYS INTERNATIONAL","MYANMAR AIRWAYS INTERNATIONAL",,"MYANMAR","ASIA : SOUTH EAST ASIA"
"1F",,"1F","INFINI TRAVEL INFORMATION, INC.","INFINI TRAVEL INFORMATION, INC.",
"8AL",,"8AL","AIR ALANNA",,,"UKRAINE","EUROPE : EASTERN/CENTRAL EUROPE"
"AZ","ITY","AZ","ITA AIRWAYS","ITALIA TRASPORTO AEREO S.P.A.",,"ITALY","EUROPE : WESTERN EUROPE"
"P0","PFZ","P0","PROFLIGHT ZAMBIA","PROFLIGHT COMMUTER SERVICES LIMITED",,"ZAMBIA","AFRICA : SOUTHERN AFRICA"
"QJ",,"QJ","JET AIRWAYS INC.","JET AIRWAYS INC.",,"USA","NORTH AMERICA"
"NE","NMA","NE","NESMA AIRLINES","NESMA AIRLINES",,"EGYPT","AFRICA : NORTH AFRICA"
"1Y",,"1Y","DXC TECHNOLOGY SERVICES LLC","DXC TECHNOLOGY SERVICES LLC",,,
"ZN","AZB","ZN","ZAMBIA AIRWAYS","ZAMBIA AIRWAYS (2014) LIMITED",,"ZAMBIA","AFRICA : SOUTHERN AFRICA"
"KS","FHS","KS","FLYJAYA","PT SURYA MATARAM NUSANTARA",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"8EG",,"8EG","BOCAS AIR",,,"PANAMA","LATIN AMERICA : CENTRAL AMERICA"
"IH","SRS","IH","SOUTHERN SKY AIRLINES JSC","SOUTHERN SKY AIRLINES JSC",,"KAZAKHSTAN","ASIA : CENTRAL ASIA"
"FN","FTZ","FN","FASTJET ZIMBABWE","FASTJET ZIMBABWE",,"ZIMBABWE","AFRICA : SOUTHERN AFRICA"
"8AT",,"8AT","OCEAN AIRLINES",,,"SOMALIA","AFRICA : EASTERN AFRICA"
"L8","TON","L8","LULUTAI AIRLINES LIMITED","LULUTAI AIRLINES LIMITED",,"TONGA","SOUTHWEST PACIFIC"
"E7","ESF","E7","ESTAFETA CARGA AEREA","ESTAFETA CARGA AEREA, S.A. DE C.V",,"MEXICO"
"8BY",,"8BY","SUMMIT AIR",,,"NEPAL","ASIA : SOUTH ASIA"
"QB","QSM","QB","FARAZ QESHM AIRLINE","QESHM AIR",,"IRAN ISLAMIC REPUBLIC OF","MIDDLE EAST"
"DM","DWI","DM","ARAJET","ARAJET SA",,"DOMINICAN REPUBLIC","LATIN AMERICA : CARIBBEAN"
"BB","SBS","BB","SEABORNE AIRLINES","SEABORNE  AIRLINES",,"PUERTO RICO","LATIN AMERICA : CARIBBEAN"
"CK","CKK","CK","CHINA CARGO AIRLINES","CHINA CARGO AIRLINES LTD.",,"CHINA","ASIA : NORTH EAST ASIA"
"8BU",,"8BU","KIN AVIA",,,"CONGO DEMOCRATIC REPUBLIC OF","AFRICA : CENTRAL/WESTERN AFRICA"
"TB","JAF","TB","TUI FLY BELGIUM","TUI AIRLINES BELGIUM N.V",,"BELGIUM","EUROPE : WESTERN EUROPE"
"6W","WCG","6W","WARSAW CARGO","WARSAW CARGO SP. Z O.O.",,"POLAND","EUROPE : EASTERN/CENTRAL EUROPE"
"2R","RLB","2R","SUNLIGHT AIR","SUNLIGHT EXPRESS AIRWAYS CORPORATION",,"PHILIPPINES","ASIA : SOUTH EAST ASIA"
"2C","GYR","2C","SNCF","SNCF",,"FRANCE","EUROPE : WESTERN EUROPE"
"B0","DJT","B0","LA COMPAGNIE","DREAMJET SAS",,"FRANCE","EUROPE : WESTERN EUROPE"
"8NT",,"8NT","NORTHERN AIR",,,"FIJI","SOUTHWEST PACIFIC"
"3B",,"3B","BRASPRESS AIR CARGO","BRASPRESS AIR CARGO",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"QK","JZA","QK","AIR CANADA JAZZ","JAZZ AVIATION LP",,"CANADA","NORTH AMERICA"
"0V","VFC","0V","VIETNAM AIR SERVICE COMPANY","BRANCH OF VIETNAM AIRLINES JSC",,"VIET NAM","ASIA : SOUTH EAST ASIA"
"Z0","UBT","Z0","NORSE ATLANTIC UK","NORSE ATLANTIC UK LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"MA","EAU","MA","ELITAVIA MALTA","ELITAVIA MALTA LIMITED",,"MALTA","EUROPE : WESTERN EUROPE"
"VQ","NVQ","VQ","NOVOAIR","NOVOAIR LIMITED",,"BANGLADESH","ASIA : SOUTH ASIA"
"Q3","AXL","Q3","ANGUILLA AIR SERVICES","ANGUILLA AIR SERVICES, LTD",,"ANGUILLA
"NM",,"NM","AIR MOANA","S.A.S NATIREVA",,"FRENCH POLYNESIA","SOUTHWEST PACIFIC"
"8EQ",,"8EQ","SILA-AVIA",,,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"LB",,"LB","BUL AIR LTD.","BUL AIR LTD.",,,
"JG",,"JG","AIRLINE CONTAINER LEASING INC.","AIRLINE CONTAINER LEASING INC.",,,
"ZS","SOP","ZS","SOLINAIR","SOLINAIR LATELSKO PODJETJE D.O.O.",,"SLOVENIA","EUROPE : EASTERN/CENTRAL EUROPE"
"8OB",,"8OB","HAWAII SHUTTLE",,,"USA","NORTH AMERICA"
"W1",,"W1","WORLD TICKET LTD","WORLD TICKET LTD",,"DENMARK","EUROPE : WESTERN EUROPE"
"JA","JAT","JA","JETSMART","JETSMART AIRLINES SPA",,"CHILE","LATIN AMERICA : LOWER SOUTH AMERICA"
"AK","AXM","AK","AIRASIA","AIRASIA BERHAD",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"D5","DAE","D5","DHL AERO EXPRESO S.A.","DHL AERO EXPRESO S.A.",,"PANAMA","LATIN AMERICA : CENTRAL AMERICA"
"PT","PDT","PT","PIEDMONT AIRLINES INC.","PIEDMONT AIRLINES, INC.",,"USA"
"HM","SEY","HM","AIR SEYCHELLES","AIR SEYCHELLES LIMITED",,"SEYCHELLES","AFRICA : EASTERN AFRICA"
"0J","PJZ","0J","PREMIUM JET AG","PREMIUM JET AG",,"SWITZERLAND","EUROPE : WESTERN EUROPE"
"1E",,"1E","TRAVELSKY TECHNOLOGY LIMITED","TRAVELSKY TECHNOLOGY LIMITED",,,
"OH","JIA","OH","PSA AIRLINES","PSA AIRLINES, INC.",,"USA"
"FL","FAS","FL","FLORIDA AIR CARGO","FLORIDA AIR CARGO INC.",,"USA","NORTH AMERICA"
"8CY",,"8CY","AEROMEXPRESS",,,"MEXICO","LATIN AMERICA : CENTRAL AMERICA"
"KJ","AIH","KJ","AIRZETA","AIRZETA CO., LTD.",,"KOREA REPUBLIC OF"
"8WA",,"8WA","RUHNU SAARE LENNUTRANSPORT",,,"ESTONIA","EUROPE : EASTERN/CENTRAL EUROPE"
"5R","RUC","5R","RUTACA","RUTAS AEREAS, C.A.",,"VENEZUELA"
"LN","LAA","LN","LIBYAN AIRLINES","LIBYAN AIRLINES",,"LIBYA","AFRICA : NORTH AFRICA"
"4B",,"4B","AVIACOMPANY AVIASTAR-TU","AVIACOMPANY AVIASTAR-TU",,,
"0E","NWC","0E","AIRCOMPANY NORTH-WEST LTD","AIRCOMPANY NORTH-WEST LLC",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"FZ","FDB","FZ","FLYDUBAI","FLYDUBAI DBA DUBAI AVIATION",,"UNITED ARAB EMIRATES","MIDDLE EAST"
"8FL",,"8FL","FLYALS",,,"KENYA","AFRICA : EASTERN AFRICA"
"8EX",,"8EX","LIGNES AERIENNES GABONAISES",,,"GABON","AFRICA : CENTRAL/WESTERN AFRICA"
"LL","LVL","LL","LEVEL","FLY LEVEL BARCELONA LH, SL",,"SPAIN"
"AE","MDA","AE","MANDARIN AIRLINES","MANDARIN AIRLINES LTD.",,"CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"E2","HFA","E2","AIRHAIFA","AIR HAIFA LTD.",,"ISRAEL","MIDDLE EAST"
"DT","DTA","DT","TAAG ANGOLA AIRLINES","TAAG LINHAS AEREAS DE ANGOLA",,"ANGOLA","AFRICA : SOUTHERN AFRICA"
"WS","WJA","WS","WESTJET","WESTJET",,"CANADA","NORTH AMERICA"
"9N","TOS","9N","TROPIC AIR","TROPIC AIR LIMITED",,"BELIZE","LATIN AMERICA : CENTRAL AMERICA"
"GI","LHA","GI","CHINA CENTRAL LONGHAO AIRLINES","CHINA CENTRAL LONGHAO AIRLINES CO., LTD.",,"CHINA"
"XE","JSX","XE","JSX","DELUX PUBLIC CHARTER",,"USA","NORTH AMERICA"
"8CV",,"8CV","FLYINDICO",,,"MOZAMBIQUE","AFRICA : SOUTHERN AFRICA"
"D7","XAX","D7","AIRASIA X","AIRASIA X BERHAD DBA AIRASIA X",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"8NY",,"8NY","SOLA AIR",,,"SWEDEN","EUROPE : WESTERN EUROPE"
"NK","NKS","NK","SPIRIT AIRLINES","SPIRIT AIRLINES",,"USA","NORTH AMERICA"
"N7","FCM","N7","NORDIC REGIONAL AIRLINES","NORDIC REGIONAL AIRLINES OY",,"FINLAND","EUROPE : WESTERN EUROPE"
"L2","LYC","L2","LYNDEN AIR CARGO","LYNDEN AIR CARGO, LLC",,"USA"
"2U","FKH","2U","FLY KHIVA GROUP","FLY KHIVA GROUP LLC",,"UZBEKISTAN","ASIA : CENTRAL ASIA"
"WR","WEN","WR","WESTJET ENCORE","WESTJET ENCORE LTD.",,"CANADA","NORTH AMERICA"
"P2","XAK","P2","AIRKENYA EXPRESS","AIRKENYA EXPRESS LTD",,"KENYA","AFRICA : EASTERN AFRICA"
"7C","JJA","7C","JEJU AIRLINES","JEJU AIR CO., LTD",,"KOREA REPUBLIC OF"
"IO","IAE","IO","IRAERO","CLOSED JOINT STOCK COMPANY ""IRAERO""",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"8EO",,"8EO","TOHO AIR SERVICE",,,"JAPAN","ASIA : NORTH EAST ASIA"
"ML",,"ML","MINRES AIR FLIGHT OPERATIONS PTY LTD","MINRES AIR FLIGHT OPERATIONS PTY LTD",,,
"A0","EFW","A0","BA EUROFLYER DBA BRITISH AIRWAYS","BA EUROFLYER LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"FW","IBX","FW","IBEX AIRLINES","IBEX AIRLINES CO., LTD.",,"JAPAN"
"7I","TLR","7I","AIR LIBYA","AIR LIBYA",,"LIBYA","AFRICA : NORTH AFRICA"
"IC","GOA","IC","FLY91","JUST UDO AVIATION PRIVATE LIMITED",,"INDIA","ASIA : SOUTH ASIA"
"NA","NUM","NA","NOMAD AVIATION","NOMAD AVIATION AG",,"SWITZERLAND","EUROPE : WESTERN EUROPE"
"XO","SGD","XO","SEAIR INTERNATIONAL","SOUTH EAST ASIAN AIRLINES (SEAIR)",,"PHILIPPINES","ASIA : SOUTH EAST ASIA"
"YX","RPA","YX","REPUBLIC AIRWAYS","REPUBLIC AIRWAYS INC",,"USA","NORTH AMERICA"
"JZ","JAP","JZ","JETSMART AIRLINES PERU","JETSMART AIRLINES PERU S.A.C.",,"PERU","LATIN AMERICA : UPPER SOUTH AMERICA"
"SM","MSC","SM","AIR CAIRO","AIR CAIRO",,"EGYPT","AFRICA : NORTH AFRICA"
"PQ","SQP","PQ","SKYUP AIRLINES","SKYUP AIRLINES LLC",,"UKRAINE","EUROPE : EASTERN/CENTRAL EUROPE"
"RT","UVT","RT","UVT AERO","JSC UVT AERO",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"8EA",,"8EA","CABO VERDE CONNECT SERVICES",,,"PORTUGAL","EUROPE : WESTERN EUROPE"
"S5","SDG","S5","STAR AIR","GHODAWAT ENTERPRISES PRIVATE LIMITED",,"INDIA","ASIA : SOUTH ASIA"
"5M",,"5M","MEL AIR LIMITED","MEL AIR LIMITED",,,
"MI",,"MI","PT RAFFLES GLOBAL ANGKASA","PT RAFFLES GLOBAL ANGKASA",,,
"JU",,"JU","JET UP AVIATION LLC","JET UP AVIATION LLC",,,
"GC",,"GC","GELIX AIRLINES, JSC","GELIX AIRLINES, JSC",
"K5",,"K5","KALITTA CHARTERS","KALITTA CHARTERS II LLC",,"USA","NORTH AMERICA"
"C3",,"C3","CARGO THREE, INC.","CARGO THREE, INC.",
"NX","AMU","NX","AIR MACAU","AIR MACAU COMPANY LIMITED",,"MACAO (SAR) CHINA","ASIA : NORTH EAST ASIA"
"VL","LHX","VL","LUFTHANSA CITY AIRLINES","LUFTHANSA CITY AIRLINES GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"LH",,"LH","LUFTHANSA CARGO AG","LUFTHANSA CARGO AG",,,
"D0","DHK","D0","DHL AIR","DHL AIR (UK) LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"8IB",,"8IB","AURORA AIRLINES ANGUILLA",,,"ANGUILLA, LEEWARD ISLANDS"
"8BO",,"8BO","SUPREME AIRLINES",,,"INDIA","ASIA : SOUTH ASIA"
"3V","TAY","3V","ASL AIRLINES BELGIUM","ASL AIRLINES BELGIUM",,"BELGIUM","EUROPE : WESTERN EUROPE"
"8IW",,"8IW","FLYELLOW",,,"GERMANY","EUROPE : WESTERN EUROPE"
"8BW",,"8BW","AIRTRAV",,,"PHILIPPINES","ASIA : SOUTH EAST ASIA"
"7J","TJK","7J","TAJIK AIR","OJSC ""TAJIK AIR""",,"TAJIKISTAN","ASIA : CENTRAL ASIA"
"F9","FFT","F9","FRONTIER AIRLINES INC.","FRONTIER AIRLINES, INC.",,"USA"
"3U","CSC","3U","SICHUAN AIRLINES","SICHUAN AIRLINES CO. LTD.",,"CHINA","ASIA : NORTH EAST ASIA"
"OF","OLA","OF","OVERLAND AIRWAYS","OVERLAND AIRWAYS LTD",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"RR","RYS","RR","BUZZ","RYANAIR SUN S.A.",,"POLAND","EUROPE : EASTERN/CENTRAL EUROPE"
"TV","TBA","TV","TIBET AIRLINES","TIBET AIRLINES CORPORATION LIMITED",,"CHINA","ASIA : NORTH EAST ASIA"
"QT","TPA","QT","TAMPA CARGO S.A.S","TAMPA CARGO S.A.S",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"AD","AZU","AD","AZUL AIRLINES","AZUL LINHAS AEREAS BRASILEIRAS SA",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"7Q","AUV","7Q","FLYONE ASIA","FLYONE ASIA LLC",,"UZBEKISTAN","ASIA : CENTRAL ASIA"
"RG","RJD","RG","ROTANAJET AVIATION","ROTANA JET AVIATION",,"UNITED ARAB EMIRATES","MIDDLE EAST"
"TT","TNZ","TT","TEXEL AIR","TEXEL AIR LTD",,"NEW ZEALAND","SOUTHWEST PACIFIC"
"FR","RYR","FR","RYANAIR","RYANAIR LTD.",,"IRELAND REPUBLIC OF","EUROPE : WESTERN EUROPE"
"KU","KAC","KU","KUWAIT AIRWAYS","KUWAIT AIRWAYS",,"KUWAIT","MIDDLE EAST"
"9I","LLR","9I","ALLIANCE AIR","ALLIANCE AIR AVIATION LIMITED",,"INDIA","ASIA : SOUTH ASIA"
