iata_code,icao_code,oag_code,carrier_name,iata_name,alliance,domicile_country,region
"LK","LLL","LK","LAO SKYWAY COMM AIR TRANS & CHARTER","LAO SKYWAY DBA COMMERCIAL AIR",,"LAO PEOPLE'S DEMOCRATIC REPUBLIC","ASIA : SOUTH EAST ASIA"
"8OA",,"8OA","IPS AIRWAYS",,,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"PH","PHA","PH","PIONAIR AUSTRALIA PTY LTD","PIONAIR AUSTRALIA PTY LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"QF","QFA","QF","QANTAS AIRWAYS","QANTAS AIRWAYS LIMITED","ONEWORLD","AUSTRALIA","SOUTHWEST PACIFIC"
"AA","AAL","AA","AMERICAN AIRLINES","AMERICAN AIRLINES","ONEWORLD","USA","NORTH AMERICA"
"8DK",,"8DK","HELLOFLY",,,"ITALY","EUROPE : WESTERN EUROPE"
"KE","KAL","KE","KOREAN AIR","KOREAN AIR LINES CO. LTD.","SKYTEAM","KOREA REPUBLIC OF","ASIA : NORTH EAST ASIA"
"JQ","JST","JQ","JETSTAR AIRWAYS","JETSTAR AIRWAYS PTY LIMITED","ONEWORLD AFFILIATE","AUSTRALIA","SOUTHWEST PACIFIC"
"TK","THY","TK","TURKISH AIRLINES","TURKISH AIRLINES INC","STAR ALLIANCE","TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"VS","VIR","VS","VIRGIN ATLANTIC AIRWAYS","VIRGIN ATLANTIC AIRWAYS LTD","SKYTEAM","UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"CI","CAL","CI","CHINA AIRLINES","CHINA AIRLINES LTD.","SKYTEAM","CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"BA","BAW","BA","BRITISH AIRWAYS","BRITISH AIRWAYS PLC","ONEWORLD","UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"PF","SIF","PF","AIR SIAL","M/S AIR SIAL LTD",,"PAKISTAN","ASIA : SOUTH ASIA"
"1D",,"1D","RADIXX SOLUTIONS INTERNATIONAL, INC","RADIXX SOLUTIONS INTERNATIONAL, INC",
"8F","STP","8F","STP AIRWAYS","STP AIRWAYS - TRANSPORTES AEREOS DE",,"SAO TOME AND PRINCIPE","AFRICA : CENTRAL/WESTERN AFRICA"
"CX","CPA","CX","CATHAY PACIFIC AIRWAYS","CATHAY PACIFIC AIRWAYS LTD","ONEWORLD","HONG KONG (SAR) CHINA","ASIA : NORTH EAST ASIA"
"A3","AEE","A3","AEGEAN AIRLINES","AEGEAN AIRLINES","STAR ALLIANCE","GREECE","EUROPE : WESTERN EUROPE"
"NU","JTA","NU","JAPAN TRANSOCEAN AIR","JAPAN TRANSOCEAN AIR CO. LTD.","ONEWORLD AFFILIATE","JAPAN","ASIA : NORTH EAST ASIA"
"8DP",,"8DP","AIRPORT EXPRESS RAIL",,,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"NI","PGA","NI","PORTUGALIA","PORTUGALIA - COMPANHIA PORTUGUESA","STAR ALLIANCE","PORTUGAL","EUROPE : WESTERN EUROPE"
"BR","EVA","BR","EVA AIRWAYS","EVA AIRWAYS CORPORATION","STAR ALLIANCE","CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"D2","SSF","D2","SEVERSTAL AIRCOMPANY","SEVERSTAL AIRCOMPANY LTD",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"8BA",,"8BA","RECTRIX AVIATION",,,"USA","NORTH AMERICA"
"RO","ROT","RO","TAROM","COMPANIA NATIONALA DE TRANSPORTURI","SKYTEAM","ROMANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"AV","AVA","AV","AVIANCA","AEROVIAS DEL CONTINENTE AMERICANO","STAR ALLIANCE","COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"AT","RAM","AT","ROYAL AIR MAROC","ROYAL AIR MAROC","ONEWORLD","MOROCCO","AFRICA : NORTH AFRICA"
"KQ","KQA","KQ","KENYA AIRWAYS","KENYA AIRWAYS PLC","SKYTEAM","KENYA","AFRICA : EASTERN AFRICA"
"TP","TAP","TP","TAP AIR PORTUGAL","TAP PORTUGAL","STAR ALLIANCE","PORTUGAL","EUROPE : WESTERN EUROPE"
"OU","CTN","OU","CROATIA AIRLINES","CROATIA AIRLINES D.D.","STAR ALLIANCE","CROATIA","EUROPE : EASTERN/CENTRAL EUROPE"
"8MB",,"8MB","ARCTIC FRESH PROJECTS",,,"CANADA","NORTH AMERICA"
"LG","LGL","LG","LUXAIR","LUXAIR SA",,"LUXEMBOURG","EUROPE : WESTERN EUROPE"
